region,period,period_name,out,out_exp,ratio_out,inp,inp_exp,ratio_in
Sichuan,8,Jan 2020-Apr 2024,103822.65,115945.0095,0.895447337,6202.25,7406.818863,0.837370282
Guizhou,8,Jan 2020-Apr 2024,37055.1,47756.19965,0.775922294,3041.3,4040.068957,0.752784181
Yunnan,8,Jan 2020-Apr 2024,55282.15,64664.47649,0.854907563,3610.35,4841.827255,0.745658573
Tibet,8,Jan 2020-Apr 2024,2632.75,2524.163995,1.043018601,104.8,113.9905382,0.919374552
Shaanxi,8,Jan 2020-Apr 2024,46240.9,52225.60387,0.885406708,3008.3,4097.969792,0.734095211
Gansu,8,Jan 2020-Apr 2024,24353.7,26625.08888,0.914689904,1664.45,2117.127929,0.786183006
Qinghai,8,Jan 2020-Apr 2024,6629.85,6651.222807,0.996786635,416.8,485.6508314,0.858229767
Ningxia,8,Jan 2020-Apr 2024,9980.35,10595.7232,0.941922492,470.55,538.5866887,0.87367551
Xinjiang,8,Jan 2020-Apr 2024,27952.45,23058.71688,1.212229203,1971.9,1793.863158,1.099247728
Hong Kong,1,Feb 2020 to Mar 2020: Wave 1 peak,,,,,,
Hong Kong,1,April  2020-Jul 2020: Revovery period,,,,,,
Hong Kong,1,Aug 2020 - Feb 2022: Low COVID-19,,,,,,
Hong Kong,1,Mar 2022- May 2022: Shanghai Outbreak,,,,,,
Hong Kong,1,Jun 2022-Nov 2022: Omicron wave,,,,,,
Hong Kong,1,Dec 2022-Jan 2023: Zero-COVID Lifting,,,,,,
Hong Kong,1,Feb 2023-Apr 2024: Post Zero-COVID,,,,,,
Hong Kong,1,Jan 2020-Apr 2024,,,,,,
