,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period
48,73987013.2,63461500,-10525513.2,-12388577.66,-8751841.26,0.857922811,0.836670205,0.878805757,0,Guangdong,8
56,34022710.76,31703500,-2319210.764,-3281004.334,-1397975.12,0.931792978,0.906215503,0.957766986,0,Guangxi,8
64,36813426.7,30413000,-6400426.7,-8762492.451,-4262448.926,0.826068133,0.7763272,0.877075888,0,Guizhou,8
72,5726548.134,4921500,-805048.1343,-1134829.771,-501988.6726,0.861054541,0.812620897,0.907441741,0,Hainan,8
80,50172525.65,41574000,-8598525.651,-13022696.5,-4293860.348,0.828965571,0.761474651,0.906386354,0,Hebei,8
88,26185898.13,19963000,-6222898.133,-7008180.22,-5417879.847,0.762353369,0.740160422,0.786536958,0,Heilongjiang,8
96,83528598.67,68876000,-14652598.67,-17946028.95,-11861371.17,0.825603018,0.793300974,0.853086979,0,Henan,8
104,47575161.05,39786500,-7788661.054,-10509208.44,-5195872.446,0.835975537,0.791051588,0.884490925,0,Hubei,8
112,55725477.59,45990000,-9735477.586,-11875526.95,-7483646.951,0.825010209,0.794773718,0.860049812,0,Hunan,8
120,18120072.83,13029000,-5091072.829,-7013093.038,-3257891.816,0.72004969,0.650081898,0.799968475,0,Inner Mongolia,8
128,56617548.7,53541000,-3076548.704,-6034097.269,-175564.0766,0.944440103,0.898714492,0.996731674,0.038,Jiangsu,8
136,32723344.63,28169500,-4553844.625,-5812875.181,-3420069.857,0.860970795,0.828944412,0.891734207,0,Jiangxi,8
144,17623698.15,14353500,-3270198.152,-3744548.226,-2782582.22,0.814626794,0.793096572,0.83761853,0,Jilin,8
152,31184917.3,26460000,-4724917.304,-6706248.685,-2672947.018,0.849610094,0.797799038,0.908250033,0,Liaoning,8
160,5435106.458,4705500,-729606.4583,-999743.8188,-460694.0938,0.865352936,0.824767558,0.910825245,0,Ningxia,8
168,5166512.042,4168000,-998512.0422,-1338349.843,-697868.6625,0.806945907,0.756944283,0.856578818,0,Qinghai,8
176,37750679.64,30083000,-7667679.637,-9648101.311,-5982480.32,0.797496289,0.757165018,0.834121707,0,Shaanxi,8
184,77097969.23,68518500,-8579469.233,-12369994.21,-4708889.937,0.888706498,0.847073508,0.935694965,0,Shandong,8
192,24257282.33,18254000,-6003282.329,-7126437.417,-5044298.304,0.752886673,0.719215345,0.783490715,0,Shanghai,8
200,24672218.82,18044000,-6628218.819,-9227703.713,-4261816.9,0.732476401,0.661638169,0.808937011,0,Shanxi,8
208,72178623.3,62022500,-10156123.3,-12261078.51,-8193558.895,0.859680184,0.834942278,0.883309339,0,Sichuan,8
216,7662570.493,7374500,-288070.4934,-510753.5607,-77184.66962,0.962726836,0.935226743,0.989642014,0.016,Tianjin,8
224,1212589.228,1048000,-164589.2279,-248370.4924,-86496.64488,0.864709902,0.808410912,0.923757698,0,Tibet,8
232,18916496.04,19719000,802503.9616,-356142.056,1919726.675,1.042902478,0.982259553,1.107854233,0.164,Xinjiang,8
240,44423220.34,36103500,-8319720.342,-10255253.04,-6255666.717,0.812995045,0.778784972,0.852318466,0,Yunnan,8
248,51062701.68,45438500,-5624201.68,-7764904.712,-3475021.412,0.890277889,0.854052488,0.928955814,0,Zhejiang,8
256,1054820604,913933000,-140887603.8,-173476287.8,-111019737.2,0.867185855,0.840468267,0.891683067,0,zz Total,8
