,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period
162,336995.6654,314000,-22995.66535,-38221.10627,-7839.071819,0.931995072,0.891485475,0.975642891,0.002,Qinghai,2
170,2554840.774,2026000,-528840.7744,-618635.0953,-441200.3027,0.793556773,0.766079223,0.8211737,0,Shaanxi,2
178,5369726.813,4515000,-854726.8131,-1070244.69,-623264.426,0.840513902,0.808379983,0.878701372,0,Shandong,2
186,1640347.912,1267000,-373347.912,-433134.1845,-316984.4119,0.772662258,0.745235295,0.799881609,0,Shanghai,2
194,1656618.777,1333000,-323618.7774,-437280.2051,-215589.5249,0.805607739,0.752988144,0.860783301,0,Shanxi,2
202,4944337.133,4233000,-711337.1327,-806121.2546,-615445.459,0.856020029,0.840027418,0.873063343,0,Sichuan,2
210,566844.9166,424000,-142844.9166,-155183.1481,-129752.2947,0.747676381,0.732065498,0.765685315,0,Tianjin,2
218,81418.53443,73000,-8418.534427,-12413.36224,-4544.704605,0.897279974,0.854667212,0.941392458,0,Tibet,2
226,1408751.854,1439000,30248.14609,-40178.56661,98255.24098,1.021857821,0.972837246,1.073284098,0.42,Xinjiang,2
234,2981931.305,2610000,-371931.3048,-464941.1787,-270562.6452,0.874948174,0.848796727,0.906072987,0,Yunnan,2
242,3517888.265,2964000,-553888.265,-653887.2699,-457619.4656,0.842877664,0.819262674,0.86625647,0,Zhejiang,2
250,74742180.6,63465000,-11277180.6,-12787620.69,-9793163.042,0.849556042,0.832299263,0.866319839,0,zz Total,2
3,14567960.66,14160000,-407960.6551,-1146730.971,378517.8407,0.971476474,0.92508323,1.02746572,0.33,Anhui,3
11,6981291.615,5420000,-1561291.615,-1702402.22,-1434447.64,0.776402498,0.760979209,0.790727464,0,Beijing,3
19,9806878.929,8302000,-1504878.929,-1859981.427,-1159453.185,0.846236973,0.816966658,0.877455064,0,Chongqing,3
27,8425691.023,8023000,-402691.0227,-758383.4054,-61343.0705,0.95255454,0.913637366,0.992412114,0.018,Fujian,3
35,7359019.332,5771500,-1587519.332,-1943674.755,-1240814.814,0.784396139,0.748071196,0.823052041,0,Gansu,3
43,27197427.33,23261000,-3936427.329,-4508921.378,-3402155.549,0.855523172,0.837632908,0.872402367,0,Guangdong,3
51,12367720.28,11349000,-1018720.278,-1311106.422,-739665.2439,0.917599037,0.896437962,0.938813336,0,Guangxi,3
59,13127719.51,11159500,-1968219.506,-2677771.432,-1320580.894,0.850505036,0.80648127,0.894184912,0,Guizhou,3
67,2035116.697,1842000,-193116.6967,-295877.0678,-101769.8741,0.906504482,0.861602394,0.947643051,0,Hainan,3
75,18330967.31,14924000,-3406967.305,-4722261.266,-2092241.414,0.814592801,0.759635653,0.87704445,0,Hebei,3
83,9638860.634,6723000,-2915860.634,-3163813.737,-2665793.771,0.697328771,0.679996628,0.716066426,0,Heilongjiang,3
91,29984134.75,24961000,-5023134.747,-6013995.838,-4160249.737,0.833218157,0.805843566,0.857140413,0,Henan,3
99,17235848.22,14520000,-2715848.215,-3526414.226,-1923763.345,0.842426319,0.804592007,0.883009546,0,Hubei,3
107,20296627.63,17513000,-2783627.626,-3467192.106,-2070405.428,0.862479211,0.834739736,0.894277559,0,Hunan,3
115,6490609.519,4592500,-1898109.519,-2506733.459,-1334590.731,0.708466745,0.646900958,0.774832101,0,Inner Mongolia,3
123,21054367.26,19568500,-1485867.264,-2441768.032,-556302.7834,0.928753982,0.889062324,0.972357357,0,Jiangsu,3
131,11694822.7,10466000,-1228822.704,-1618600.237,-881380.1278,0.895240939,0.866060921,0.922327443,0,Jiangxi,3
139,6520689.568,5241500,-1279189.568,-1433177.442,-1125047.394,0.803782159,0.785281393,0.823287681,0,Jilin,3
147,11715561.89,9397000,-2318561.887,-2967801.347,-1646062.25,0.802699616,0.759979862,0.850941506,0,Liaoning,3
155,2017088.351,1692500,-324588.3513,-412999.1556,-238992.2023,0.838905932,0.80384739,0.87626551,0,Ningxia,3
163,1868801.242,1607500,-261301.2421,-366043.502,-165808.0984,0.860328374,0.814524737,0.906497864,0,Qinghai,3
171,13655141.92,10511000,-3144141.922,-3748723.811,-2601218.48,0.769956512,0.737111051,0.801618736,0,Shaanxi,3
179,28405334.21,24609500,-3795834.214,-4927997.441,-2617963.628,0.866735315,0.833161311,0.903848423,0,Shandong,3
187,8678265.267,6983000,-1695265.267,-2018768.637,-1405453.074,0.805055485,0.775736445,0.832453844,0,Shanghai,3
195,8763187.855,6537000,-2226187.855,-2969037.238,-1533570.761,0.745868424,0.687668287,0.80997994,0,Shanxi,3
203,26246015.67,22351500,-3894515.674,-4530929.421,-3294596.808,0.851504766,0.831453872,0.871536133,0,Sichuan,3
211,2858018.342,2530500,-327518.3416,-396555.5515,-259796.4959,0.885560684,0.864520661,0.906892871,0,Tianjin,3
219,446915.0147,417500,-29415.0147,-56140.33085,-4339.708147,0.934528023,0.881470549,0.989712429,0.014,Tibet,3
227,7167244.988,6410500,-756744.9884,-1121523.057,-394503.9811,0.894502838,0.851099366,0.942027373,0,Xinjiang,3
235,15985218.49,13433500,-2551718.488,-3156033.799,-1910280.219,0.840513639,0.809757535,0.875501331,0,Yunnan,3
243,18480579.16,16525500,-1955079.163,-2624088.994,-1280580.184,0.8945399,0.862968914,0.928081861,0,Zhejiang,3
251,385109840.5,330918500,-54191340.5,-64240044.65,-44615092.17,0.85975417,0.837432227,0.88119547,0,zz Total,3
4,1591922.047,1205000,-386922.047,-503194.6773,-270459.9342,0.756822133,0.705423109,0.816694717,0,Anhui,4
12,783972.8545,510000,-273972.8545,-294040.3245,-254607.1555,0.650752368,0.634296547,0.667009191,0,Beijing,4
20,1069362.935,861000,-208362.9345,-254666.1113,-164591.1159,0.806144454,0.771736292,0.839515858,0,Chongqing,4
28,939543.0881,784000,-155543.0881,-202034.8686,-108742.774,0.834685057,0.795103728,0.878192491,0,Fujian,4
36,808944.2812,577000,-231944.2812,-277981.3275,-188697.1732,0.713277201,0.67486854,0.753561617,0,Gansu,4
44,2996205.72,2412000,-584205.7199,-674813.0924,-499301.9082,0.804633473,0.781388418,0.828495318,0,Guangdong,4
52,1381172.575,1181000,-200172.5747,-251725.0426,-149830.185,0.854884552,0.824303314,0.887416003,0,Guangxi,4
60,1455581.327,1134000,-321581.3267,-418348.1832,-231982.2818,0.780547429,0.730506223,0.830171828,0,Guizhou,4
68,226325.5451,180000,-46325.54513,-60678.38279,-32454.80139,0.796016357,0.74788603,0.847239034,0,Hainan,4
76,2040403.979,1382000,-658403.9786,-858574.9842,-458225.4207,0.677235532,0.616805961,0.75099496,0,Hebei,4
84,1109868.587,661000,-448868.5873,-485540.4134,-414794.7291,0.595791188,0.576516968,0.614429485,0,Heilongjiang,4
92,3443550.956,2339000,-1104550.956,-1273961.85,-952539.1533,0.679948305,0.647391281,0.710609813,0,Henan,4
100,1927320.528,1553000,-374320.5277,-501320.4695,-258613.6507,0.806672386,0.755967828,0.857246799,0,Hubei,4
108,2286565.224,1627000,-659565.2237,-748357.5349,-568762.4262,0.710694199,0.684949519,0.740972703,0,Hunan,4
116,760229.0124,501000,-259229.0124,-342491.2469,-182514.7855,0.659777835,0.593959933,0.732976098,0,Inner Mongolia,4
124,2267841.401,1729000,-538841.4011,-671570.9414,-415974.976,0.761763446,0.720245327,0.80607001,0,Jiangsu,4
132,1339152.38,942000,-397152.3796,-449589.0842,-348793.9536,0.703704284,0.676923965,0.729783401,0,Jiangxi,4
140,755056.0397,318000,-437056.0397,-464227.049,-411868.6631,0.421482897,0.406531583,0.435694829,0,Jilin,4
148,1293303.619,794000,-499303.619,-585027.5682,-411230.3066,0.613419807,0.575768087,0.658795249,0,Liaoning,4
156,211941.1003,166000,-45941.10032,-56591.97295,-35501.89312,0.783551159,0.745759151,0.8238136,0,Ningxia,4
164,200231.5486,128000,-72231.54862,-88324.92985,-57014.37969,0.639441404,0.591702493,0.691838118,0,Qinghai,4
172,1513668.192,1158000,-355668.1923,-439783.1095,-279825.0511,0.765801998,0.724754188,0.805383103,0,Shaanxi,4
180,3055959.981,2224000,-831959.9812,-1023823.451,-625570.082,0.728331794,0.6847663,0.780468611,0,Shandong,4
188,970739.667,203000,-767739.667,-818094.8215,-719206.4771,0.209194609,0.198806218,0.22012424,0,Shanghai,4
196,1016047.182,634000,-382047.1823,-488874.3369,-284264.2556,0.624460945,0.564622399,0.69043307,0,Shanxi,4
204,2846641.881,2274000,-572641.8813,-662799.17,-480975.0048,0.799191977,0.774312402,0.825415837,0,Sichuan,4
212,314177.8339,268000,-46177.8339,-55588.49049,-36859.60589,0.852559955,0.828212399,0.879093179,0,Tianjin,4
220,46979.97428,41000,-5979.974278,-10040.98464,-1943.282333,0.873647315,0.803276115,0.954747717,0,Tibet,4
228,749382.1439,777000,27617.85609,-26745.72944,76973.68666,1.037026068,0.966723643,1.109958285,0.31,Xinjiang,4
236,1729429.034,1256000,-473429.0339,-542800.2639,-399192.2579,0.726657457,0.698243179,0.758824249,0,Yunnan,4
244,2000295.85,1661000,-339295.8504,-420806.5543,-262856.4288,0.83000943,0.797864722,0.863370042,0,Zhejiang,4
252,42669262.23,31476000,-11193262.23,-12513613.19,-9908110.103,0.738181468,0.715532549,0.760581777,0,zz Total,4
5,4616390.186,4365000,-251390.186,-583000.713,74422.56684,0.944546664,0.882174495,1.017345597,0.144,Anhui,5
13,2337619.953,1747000,-590619.9528,-642489.9822,-542290.0728,0.747291529,0.731118367,0.763118672,0,Beijing,5
21,3137376.472,2528000,-609376.4719,-758773.8087,-467514.9515,0.805725431,0.769143286,0.843928353,0,Chongqing,5
29,2739244,2674000,-65243.9996,-208245.21,74054.60902,0.976412553,0.927748964,1.02848314,0.332,Fujian,5
37,2345474.486,1544000,-801474.4862,-941261.4497,-661830.0204,0.658629598,0.621262609,0.699963308,0,Gansu,5
45,8985653.106,7607000,-1378653.106,-1596580.828,-1169359.855,0.846647303,0.826526125,0.866760267,0,Guangdong,5
53,4120588.893,3802000,-318588.8933,-435290.6358,-210098.7548,0.922891966,0.897271471,0.947633706,0,Guangxi,5
61,4399152.013,3410000,-989152.0131,-1310492.768,-706190.9475,0.775370009,0.72238221,0.828435814,0,Guizhou,5
69,668647.384,529000,-139647.384,-181344.8726,-103217.5621,0.792557966,0.744708691,0.836737292,0,Hainan,5
77,5831297.1,4609000,-1222297.1,-1778827.745,-660793.2364,0.790439146,0.72152856,0.874607369,0,Hebei,5
85,3041238.82,2325000,-716238.8197,-822167.9264,-610242.813,0.764316349,0.738759438,0.792098014,0,Heilongjiang,5
93,9745902.5,7319000,-2426902.5,-2810146.676,-2100645.64,0.751692528,0.722568271,0.776993136,0,Henan,5
101,5690470.066,4708000,-982470.0659,-1287904.785,-686031.1854,0.828018711,0.785202596,0.872816608,0,Hubei,5
109,6625847.279,5230000,-1395847.279,-1665688.238,-1117887.895,0.789671249,0.758444962,0.823896094,0,Hunan,5
117,2032300.929,1340000,-692300.9287,-939243.6969,-469183.1361,0.660227222,0.587914381,0.740665762,0,Inner Mongolia,5
125,6675868.825,6387000,-288868.8251,-594636.8053,1769.254268,0.955699446,0.914828454,1.000277087,0.054,Jiangsu,5
133,3856120.556,3186000,-670120.5556,-802222.9268,-549900.2054,0.82670626,0.798852035,0.852806506,0,Jiangxi,5
141,2051208.957,1606000,-445208.9573,-499137.6434,-390409.85,0.782866966,0.762895496,0.804444037,0,Jilin,5
149,3610079.331,3088000,-522079.3311,-780313.4203,-265041.0571,0.85654883,0.798280718,0.92095504,0,Liaoning,5
157,609001.2949,479000,-130001.2949,-161117.4548,-99958.93495,0.786653055,0.74830017,0.82734711,0,Ningxia,5
165,604078.6328,380000,-224078.6328,-257306.9717,-191865.1001,0.6294813,0.596259032,0.664492378,0,Qinghai,5
173,4377621.203,3405000,-972621.203,-1217659.71,-755090.1963,0.778271545,0.736588938,0.818491894,0,Shaanxi,5
181,8971381.229,7736000,-1235381.229,-1715863.404,-754462.4496,0.86220172,0.81846295,0.911140009,0,Shandong,5
189,2954035.198,2018000,-936035.1984,-1061110.883,-823306.0862,0.683639894,0.655384001,0.71023675,0,Shanghai,5
197,2862387.401,2015000,-847387.4012,-1167092.09,-544127.7998,0.704839726,0.633231212,0.787377668,0,Shanxi,5
205,8482536.384,6812000,-1670536.384,-1931095.122,-1424550.485,0.802921538,0.779129119,0.827045256,0,Sichuan,5
213,907468.1262,876000,-31468.12617,-63122.78683,-1833.90283,0.965580909,0.932785376,0.997910879,0.042,Tianjin,5
221,141716.5147,86000,-55716.51473,-64189.33166,-47749.79532,0.607825184,0.572610582,0.642991639,0,Tibet,5
229,2077528.298,1563000,-514528.2982,-652040.4869,-377691.186,0.752143172,0.705630445,0.80538316,0,Xinjiang,5
237,5394685.268,4159000,-1235685.268,-1480276.49,-961364.6695,0.770970747,0.737505979,0.812246838,0,Yunnan,5
245,6119587.936,5613000,-506587.9361,-795623.0419,-229050.9719,0.918117137,0.875851172,0.960792715,0,Zhejiang,5
253,124419214.9,103150000,-21269214.9,-25089003.97,-17393440.61,0.830074521,0.804357466,0.855708118,0,zz Total,5
6,1479590.888,1590000,110409.1121,-53375.6233,262023.063,1.07568896,0.967520741,1.197310085,0.19,Anhui,6
14,730305.9844,472000,-258305.9844,-294831.8637,-225837.1098,0.646956864,0.615519545,0.67637561,0,Beijing,6
22,1079197.008,886000,-193197.0082,-263627.0436,-126413.704,0.821973123,0.770684892,0.87513632,0,Chongqing,6
30,839886.5244,690000,-149886.5244,-216985.8823,-89323.65182,0.822199685,0.760761572,0.885383112,0,Fujian,6
38,881295.1032,704000,-177295.1032,-228049.1961,-128155.6395,0.799330063,0.755324937,0.845995594,0,Gansu,6
46,2722425.674,2132000,-590425.6743,-688467.2682,-494603.6544,0.783293783,0.755903118,0.811694606,0,Guangdong,6
54,1296054.477,1258000,-38054.47657,-79514.50384,3241.051473,0.970564304,0.940550551,1.002583009,0.066,Guangxi,6
62,1442729.772,1194000,-248729.772,-338970.9688,-162078.5746,0.828010322,0.778879727,0.88047998,0,Guizhou,6
70,213582.6039,174000,-39582.60386,-55543.24698,-25124.88878,0.81613504,0.758027197,0.873823464,0,Hainan,6
78,2021834.384,1656000,-365834.3843,-546004.3556,-204002.6265,0.819790001,0.752042112,0.890321344,0,Hebei,6
86,1016153.666,830000,-186153.6655,-228543.8872,-140446.8181,0.815857456,0.784095976,0.855276159,0,Heilongjiang,6
94,3391568.543,2904000,-487568.5429,-654967.4693,-336737.711,0.856088658,0.81596706,0.896092267,0,Henan,6
102,1796831.963,1552000,-244831.963,-359001.2965,-130807.8594,0.865174665,0.812139701,0.922268151,0,Hubei,6
110,2134978.073,1808000,-326978.0731,-476946.2293,-178313.8497,0.846693096,0.791265891,0.910228828,0,Hunan,6
118,692751.7125,492000,-200751.7125,-319861.6196,-98305.54493,0.715734239,0.606014644,0.833466676,0,Inner Mongolia,6
126,2231968.804,1916000,-315968.8037,-447442.6741,-187025.7809,0.858872021,0.810681832,0.911068244,0,Jiangsu,6
134,1279290.948,1166000,-113290.9481,-185849.789,-39074.63684,0.911227615,0.862521865,0.967574924,0,Jiangxi,6
142,651748.4398,554000,-97748.43978,-132712.9077,-65632.13716,0.850961442,0.80674179,0.894078871,0,Jilin,6
150,1156758.982,974000,-182758.9819,-290510.2492,-76737.78505,0.84266939,0.770258687,0.926967731,0,Liaoning,6
158,217428.5009,192000,-25428.50088,-37792.15238,-13623.37589,0.883064735,0.835537672,0.933745979,0,Ningxia,6
166,214511.1253,150000,-64511.12526,-80924.66887,-49263.13337,0.698374365,0.649562491,0.752773472,0,Qinghai,6
174,1496674.255,1124000,-372674.2545,-487393.9087,-268374.5465,0.751025976,0.697532735,0.80725406,0,Shaanxi,6
182,3113503.4,2576000,-537503.4003,-728265.8209,-343983.6502,0.828349638,0.779598297,0.882196721,0,Shandong,6
190,899761.4771,510000,-389761.4771,-461310.3187,-326770.5694,0.567760278,0.525063929,0.609486069,0,Shanghai,6
198,950374.1392,616000,-334374.1392,-497093.1459,-197926.61,0.65094473,0.553412985,0.756824993,0,Shanxi,6
206,2872605.912,2552000,-320605.9119,-430263.1276,-214336.1437,0.888645771,0.855725969,0.922519849,0,Sichuan,6
214,292692.6824,258000,-34692.68238,-45602.35248,-23297.45148,0.882257815,0.849795807,0.91717859,0,Tianjin,6
222,48322.51445,36000,-12322.51445,-15981.30378,-9052.656946,0.746285204,0.6925567,0.799064985,0,Tibet,6
230,756772.9339,842000,85227.06612,34282.76686,136379.7265,1.11244941,1.042444051,1.193276372,0.002,Xinjiang,6
238,1741877.225,1282000,-459877.2251,-592853.251,-334553.4098,0.73575419,0.683786851,0.793045252,0,Yunnan,6
246,1915225.88,1500000,-415225.8798,-532784.1812,-301955.1857,0.783474087,0.737904225,0.832429144,0,Zhejiang,6
254,40553286.08,34594000,-5959286.076,-7688938.664,-4223570.594,0.853417211,0.818155061,0.891194366,0,zz Total,6
7,12608137.76,12779500,171362.2384,-874176.93,1234085.711,1.012431172,0.935974984,1.106889731,0.764,Anhui,7
15,6298910.905,5587000,-711910.9051,-896381.8042,-552965.593,0.886983713,0.861741631,0.909939952,0,Beijing,7
23,8524951.071,7567000,-957951.0705,-1425772.12,-516575.9922,0.887947514,0.84145355,0.936095612,0,Chongqing,7
31,6920612.997,7489500,568887.0027,116159.6439,992608.2297,1.082927902,1.015754006,1.15278205,0.018,Fujian,7
