,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,2
233,20445266.4,13695000,-6750266.404,-7613431.087,-5942365.935,0.670107097,0.642703348,0.697394959,0,Yunnan,1,20445266.4,13695000,-6750266,-7613431,-5942366,0.67,0.64,0.70,0,Yunnan,1
241,51002474.19,25257000,-25745474.19,-28238348.08,-23326197.09,0.495502786,0.472134513,0.5198711,0,Zhejiang,1,51002474.2,25257000,-25745474,-28238348,-23326197,0.50,0.47,0.52,0,Zhejiang,1
249,642062388.6,339497000,-302565388.6,-322923054.3,-282051281.9,0.528899195,0.512510148,0.546211791,0,zz_Total,1,642062389,339497000,-302565389,-322923054,-282051282,0.53,0.51,0.55,0,zz_Total,1
2,40770288.84,40746000,-24288.83666,-1887458.783,1795156.931,0.999930904,0.955728231,1.046087758,0.976,Anhui,2,40770288.8,40746000,-24289,-1887459,1795157,1.00,0.96,1.05,0.976,Anhui,2
10,51015455.42,31978000,-19037455.42,-20628954.14,-17518722.56,0.626987074,0.607866403,0.646062978,0,Beijing,2,51015455.4,31978000,-19037455,-20628954,-17518723,0.63,0.61,0.65,0,Beijing,2
18,28217063.85,24839000,-3378063.849,-4048584.753,-2750056.494,0.880410234,0.859850356,0.90032075,0,Chongqing,2,28217063.8,24839000,-3378064,-4048585,-2750057,0.88,0.86,0.90,0,Chongqing,2
26,36956829.05,32167000,-4789829.052,-5899202.807,-3693514.079,0.870588673,0.84502781,0.897003315,0,Fujian,2,36956829.1,32167000,-4789829,-5899203,-3693514,0.87,0.85,0.90,0,Fujian,2
34,18017829.6,16459000,-1558829.605,-2113546.981,-974363.9215,0.913729913,0.886200477,0.944109243,0,Gansu,2,18017829.6,16459000,-1558830,-2113547,-974364,0.91,0.89,0.94,0,Gansu,2
42,141502206.7,110956000,-30546206.68,-34100659.5,-26668414.49,0.784278151,0.764914899,0.806223231,0,Guangdong,2,141502207,110956000,-30546207,-34100660,-26668414,0.78,0.76,0.81,0,Guangdong,2
50,40871782.03,33695000,-7176782.027,-8184690.555,-6203795.995,0.824536854,0.804566597,0.844511699,0,Guangxi,2,40871782,33695000,-7176782,-8184691,-6203796,0.82,0.80,0.84,0,Guangxi,2
58,29336985.11,23987000,-5349985.11,-6495879.354,-4242599.069,0.817964313,0.786900732,0.84971097,0,Guizhou,2,29336985.1,23987000,-5349985,-6495879,-4242599,0.82,0.79,0.85,0,Guizhou,2
66,7843970.408,6522000,-1321970.408,-1565139.649,-1090513.678,0.831671121,0.80646561,0.856747233,0,Hainan,2,7843970.41,6522000,-1321970,-1565140,-1090514,0.83,0.81,0.86,0,Hainan,2
74,56332396.57,49971000,-6361396.571,-8127984.264,-4561320.076,0.887295031,0.860101095,0.916355658,0,Hebei,2,56332396.6,49971000,-6361397,-8127984,-4561320,0.89,0.86,0.92,0,Hebei,2
82,23262564.63,14849000,-8413564.634,-8828150.992,-8027839.938,0.638373092,0.627144711,0.649084403,0,Heilongjiang,2,23262564.6,14849000,-8413565,-8828151,-8027840,0.64,0.63,0.65,0,Heilongjiang,2
90,80360599.94,69220000,-11140599.94,-12431571.41,-9822174.085,0.861430037,0.847748534,0.875735023,0,Henan,2,80360599.9,69220000,-11140600,-12431571,-9822174,0.86,0.85,0.88,0,Henan,2
