,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,2
244,59604745.36,50561000,-9043745.362,-11440279.16,-6781853.171,0.848609162,0.815483175,0.881731502,0,Zhejiang,4,59604745.4,50561000,-9043745,-11440279,-6781853,0.85,0.82,0.88,0,Zhejiang,4
252,735015272.9,626487000,-108528272.9,-123920754.4,-93850947.76,0.852443786,0.834862109,0.869712615,0,zz_Total,4,735015273,626487000,-108528273,-123920754,-93850948,0.85,0.83,0.87,0,zz_Total,4
5,68490863.32,81369000,12878136.68,8331880.147,17207746.27,1.189346925,1.114077348,1.268195304,0,Anhui,5,68490863.3,81369000,12878137,8331880,17207746,1.19,1.11,1.27,0,Anhui,5
13,78506646.34,70820000,-7686646.341,-11090482.34,-4602866.548,0.902461889,0.864602405,0.938972533,0,Beijing,5,78506646.3,70820000,-7686646,-11090482,-4602867,0.90,0.86,0.94,0,Beijing,5
21,48367950.04,40122000,-8245950.043,-9785833.259,-6764440.093,0.829729976,0.803921897,0.855727155,0,Chongqing,5,48367950,40122000,-8245950,-9785833,-6764440,0.83,0.80,0.86,0,Chongqing,5
29,57811571.94,56915000,-896571.9389,-3464602.066,1780661.984,0.985003189,0.942619661,1.032296787,0.498,Fujian,5,57811571.9,56915000,-896572,-3464602,1780662,0.99,0.94,1.03,0.498,Fujian,5
37,30150245.87,24573000,-5577245.868,-7109289.005,-4170639.705,0.815508978,0.775606839,0.854902172,0,Gansu,5,30150245.9,24573000,-5577246,-7109289,-4170640,0.82,0.78,0.85,0,Gansu,5
45,210106126.7,194352000,-15754126.73,-23208466.68,-8673722.385,0.925298388,0.893324068,0.957277725,0,Guangdong,5,210106127,194352000,-15754127,-23208467,-8673722,0.93,0.89,0.96,0,Guangdong,5
53,66483194.65,60646000,-5837194.645,-7991871.964,-3848176.797,0.912426777,0.88356469,0.940332959,0,Guangxi,5,66483194.6,60646000,-5837195,-7991872,-3848177,0.91,0.88,0.94,0,Guangxi,5
61,53818076.88,41770000,-12048076.88,-15099283.56,-9008026.118,0.776794435,0.734491408,0.822599917,0,Guizhou,5,53818076.9,41770000,-12048077,-15099284,-9008026,0.78,0.73,0.82,0,Guizhou,5
69,13190859.23,10083000,-3107859.231,-3895468.386,-2385993.031,0.765064679,0.721323662,0.808645904,0,Hainan,5,13190859.2,10083000,-3107859,-3895468,-2385993,0.77,0.72,0.81,0,Hainan,5
77,99014240.53,92267000,-6747240.533,-11146112.64,-2535159.251,0.932312718,0.892217608,0.97325843,0,Hebei,5,99014240.5,92267000,-6747241,-11146113,-2535159,0.93,0.89,0.97,0,Hebei,5
85,35925399.74,32479000,-3446399.739,-4341371.652,-2520249.82,0.904222849,0.882093215,0.927991325,0,Heilongjiang,5,35925399.7,32479000,-3446400,-4341372,-2520250,0.90,0.88,0.93,0,Heilongjiang,5
93,134796645.6,114604000,-20192645.61,-23533265.92,-16827212.33,0.85034236,0.829638544,0.871969436,0,Henan,5,134796646,114604000,-20192646,-23533266,-16827212,0.85,0.83,0.87,0,Henan,5
101,90179316.74,72631000,-17548316.74,-23253606.65,-11967738.44,0.806212542,0.757483435,0.858535261,0,Hubei,5,90179316.7,72631000,-17548317,-23253607,-11967738,0.81,0.76,0.86,0,Hubei,5
109,68969159.16,65513000,-3456159.158,-6025348.57,-984801.4359,0.950215255,0.915774565,0.985190466,0.01,Hunan,5,68969159.2,65513000,-3456159,-6025349,-984801,0.95,0.92,0.99,0.01,Hunan,5
117,33144787.7,29428000,-3716787.702,-4922883.452,-2379504.087,0.888196407,0.856688311,0.925190504,0,Inner Mongolia,5,33144787.7,29428000,-3716788,-4922884,-2379504,0.89,0.86,0.93,0,Inner Mongolia,5
125,149420431.2,135210000,-14210431.23,-20053202.67,-8658784.304,0.905238616,0.870843844,0.939814721,0,Jiangsu,5,149420431,135210000,-14210431,-20053203,-8658784,0.91,0.87,0.94,0,Jiangsu,5
133,51324985.99,46895000,-4429985.988,-6873793.093,-2156085.148,0.914204215,0.872160176,0.956044123,0,Jiangxi,5,51324986,46895000,-4429986,-6873793,-2156085,0.91,0.87,0.96,0,Jiangxi,5
141,30973497.57,30836000,-137497.5738,-1540899.268,1264368.208,0.996102068,0.952407448,1.042756119,0.86,Jilin,5,30973497.6,30836000,-137498,-1540899,1264368,1.00,0.95,1.04,0.86,Jilin,5
149,60673292.54,53493000,-7180292.539,-8996431.864,-5392165.476,0.881846084,0.856032747,0.90842914,0,Liaoning,5,60673292.5,53493000,-7180293,-8996432,-5392166,0.88,0.86,0.91,0,Liaoning,5
157,12765915.04,10182000,-2583915.045,-3089276.059,-2070032.341,0.797930692,0.767220873,0.8310458,0,Ningxia,5,12765915,10182000,-2583915,-3089276,-2070032,0.80,0.77,0.83,0,Ningxia,5
165,8434382.91,6396000,-2038382.91,-2653324.632,-1454145.685,0.759223944,0.706793085,0.81476198,0,Qinghai,5,8434382.91,6396000,-2038383,-2653325,-1454146,0.76,0.71,0.81,0,Qinghai,5
173,61902736.21,51711000,-10191736.21,-11421983.01,-8966224.186,0.835446329,0.819080575,0.852230811,0,Shaanxi,5,61902736.2,51711000,-10191736,-11421983,-8966224,0.84,0.82,0.85,0,Shaanxi,5
181,155915807.5,125919000,-29996807.46,-34872944.71,-25338456.77,0.807821385,0.783117591,0.832481273,0,Shandong,5,155915807,125919000,-29996807,-34872945,-25338457,0.81,0.78,0.83,0,Shandong,5
189,94303039.66,75646000,-18657039.66,-22271229.67,-15034154.82,0.802471875,0.772550452,0.834206781,0,Shanghai,5,94303039.7,75646000,-18657040,-22271230,-15034155,0.80,0.77,0.83,0,Shanghai,5
197,43949388.24,35297000,-8652388.241,-11910640.73,-5444052.973,0.804263908,0.747696762,0.866374272,0,Shanxi,5,43949388.2,35297000,-8652388,-11910641,-5444053,0.80,0.75,0.87,0,Shanxi,5
205,138655161.1,116225000,-22430161.06,-27161565.01,-17710236.04,0.838488889,0.81057106,0.867770157,0,Sichuan,5,138655161,116225000,-22430161,-27161565,-17710236,0.84,0.81,0.87,0,Sichuan,5
213,35044053.64,31037000,-4007053.642,-5344678.552,-2720185.056,0.885987236,0.853094229,0.919419079,0,Tianjin,5,35044053.6,31037000,-4007054,-5344679,-2720185,0.89,0.85,0.92,0,Tianjin,5
221,3137774.689,2254000,-883774.6889,-1137655.628,-641056.9555,0.719476179,0.664572188,0.778568449,0,Tibet,5,3137774.69,2254000,-883775,-1137656,-641057,0.72,0.66,0.78,0,Tibet,5
229,27464018.49,22245000,-5219018.486,-6544395.866,-3900804.023,0.810460357,0.772680337,0.850805735,0,Xinjiang,5,27464018.5,22245000,-5219019,-6544396,-3900804,0.81,0.77,0.85,0,Xinjiang,5
237,75353024.98,64583000,-10770024.98,-13127254.05,-8733965.968,0.857271429,0.831074365,0.880873879,0,Yunnan,5,75353025,64583000,-10770025,-13127254,-8733966,0.86,0.83,0.88,0,Yunnan,5
245,179639198.2,162249000,-17390198.18,-25103109.03,-10104341.04,0.903597732,0.866011068,0.941374267,0,Zhejiang,5,179639198,162249000,-17390198,-25103109,-10104341,0.90,0.87,0.94,0,Zhejiang,5
253,2189580601,1987748000,-201832601.5,-241036662.9,-160518438.7,0.907906528,0.891852872,0.925280015,0,zz_Total,5,2189580601,1987748000,-201832601,-241036663,-160518439,0.91,0.89,0.93,0,zz_Total,5
6,22191558.11,22112000,-79558.10846,-5061601.207,3736245.884,1.005815217,0.813731048,1.203324911,0.974,Anhui,6,22191558.1,22112000,-79558,-5061601,3736246,1.01,0.81,1.20,0.974,Anhui,6
14,22556510.67,18166000,-4390510.669,-5995136.865,-2799162.202,0.80634279,0.751868596,0.866485103,0,Beijing,6,22556510.7,18166000,-4390511,-5995137,-2799162,0.81,0.75,0.87,0,Beijing,6
22,15367088.2,11712000,-3655088.198,-4569664.451,-2738708.879,0.762822682,0.719336793,0.810479271,0,Chongqing,6,15367088.2,11712000,-3655088,-4569665,-2738709,0.76,0.72,0.81,0,Chongqing,6
30,16868835.92,13772000,-3096835.923,-4175420.541,-2080410.028,0.817177596,0.767352613,0.868763802,0,Fujian,6,16868835.9,13772000,-3096836,-4175421,-2080410,0.82,0.77,0.87,0,Fujian,6
38,10365933.05,8542000,-1823933.052,-2461276.404,-1214889.555,0.824831705,0.776314226,0.875483929,0,Gansu,6,10365933.1,8542000,-1823933,-2461276,-1214890,0.82,0.78,0.88,0,Gansu,6
46,60747119.6,46056000,-14691119.6,-17834472.64,-11741401.88,0.758654989,0.720858652,0.796852435,0,Guangdong,6,60747119.6,46056000,-14691120,-17834473,-11741402,0.76,0.72,0.80,0,Guangdong,6
54,20035419.69,15808000,-4227419.687,-5194096.559,-3194497.076,0.789528542,0.752686761,0.831890669,0,Guangxi,6,20035419.7,15808000,-4227420,-5194097,-3194497,0.79,0.75,0.83,0,Guangxi,6
62,16933776.71,12652000,-4281776.711,-5374031.314,-3221753.511,0.747966111,0.701873852,0.797038967,0,Guizhou,6,16933776.7,12652000,-4281777,-5374031,-3221754,0.75,0.70,0.80,0,Guizhou,6
70,4191916.357,3130000,-1061916.357,-1401979.515,-729676.4726,0.748070628,0.690647431,0.810948802,0,Hainan,6,4191916.36,3130000,-1061916,-1401980,-729676,0.75,0.69,0.81,0,Hainan,6
78,31950261.31,26926000,-5024261.314,-6619725.029,-3377485.55,0.843320248,0.802665615,0.888544651,0,Hebei,6,31950261.3,26926000,-5024261,-6619725,-3377486,0.84,0.80,0.89,0,Hebei,6
86,10989122.67,11142000,152877.3337,-624441.7673,953631.1492,1.015311807,0.946930295,1.093599984,0.702,Heilongjiang,6,10989122.7,11142000,152877,-624442,953631,1.02,0.95,1.09,0.702,Heilongjiang,6
94,42391817.43,36562000,-5829817.433,-7358945.201,-4301972.171,0.862766344,0.832450209,0.894724572,0,Henan,6,42391817.4,36562000,-5829817,-7358945,-4301972,0.86,0.83,0.89,0,Henan,6
102,27235968.89,20736000,-6499968.89,-8578149.076,-4527133.857,0.762531722,0.707371718,0.820800815,0,Hubei,6,27235968.9,20736000,-6499969,-8578149,-4527134,0.76,0.71,0.82,0,Hubei,6
110,20970228.73,17758000,-3212228.735,-5070090.355,-1596122.744,0.84831052,0.777901252,0.917530673,0,Hunan,6,20970228.7,17758000,-3212229,-5070090,-1596123,0.85,0.78,0.92,0,Hunan,6
118,10442228.63,8598000,-1844228.629,-2800361.765,-811523.1114,0.825424104,0.754318929,0.913755133,0,Inner Mongolia,6,10442228.6,8598000,-1844229,-2800362,-811523,0.83,0.75,0.91,0,Inner Mongolia,6
126,47671784.62,37982000,-9689784.62,-11486882.2,-8054618.62,0.797009595,0.7677958,0.825038884,0,Jiangsu,6,47671784.6,37982000,-9689785,-11486882,-8054619,0.80,0.77,0.83,0,Jiangsu,6
134,16162024.07,13760000,-2402024.068,-3343985.617,-1546260.166,0.852042835,0.804490857,0.898978602,0,Jiangxi,6,16162024.1,13760000,-2402024,-3343986,-1546260,0.85,0.80,0.90,0,Jiangxi,6
142,9540558.587,9196000,-344558.5871,-979404.1161,235379.3006,0.96485714,0.90374789,1.026268192,0.242,Jilin,6,9540558.59,9196000,-344559,-979404,235379,0.96,0.90,1.03,0.242,Jilin,6
150,18510158.12,16070000,-2440158.119,-3974581.189,-957017.3687,0.869598879,0.801712934,0.943794254,0,Liaoning,6,18510158.1,16070000,-2440158,-3974581,-957017,0.87,0.80,0.94,0,Liaoning,6
158,4032413.943,3488000,-544413.9431,-823091.6805,-257676.5037,0.866087751,0.809075826,0.931207079,0,Ningxia,6,4032413.94,3488000,-544414,-823092,-257677,0.87,0.81,0.93,0,Ningxia,6
166,2649122.485,2082000,-567122.4852,-764831.1393,-380040.0656,0.787024858,0.731339956,0.845640179,0,Qinghai,6,2649122.49,2082000,-567122,-764831,-380040,0.79,0.73,0.85,0,Qinghai,6
174,19575022.11,15356000,-4219022.113,-5286586.52,-3149947.574,0.78509674,0.74389903,0.829787287,0,Shaanxi,6,19575022.1,15356000,-4219022,-5286587,-3149948,0.79,0.74,0.83,0,Shaanxi,6
182,49689838.52,36960000,-12729838.52,-15637349.56,-9918913.48,0.7444895,0.702697005,0.788414177,0,Shandong,6,49689838.5,36960000,-12729839,-15637350,-9918914,0.74,0.70,0.79,0,Shandong,6
190,28257127.79,19178000,-9079127.79,-11669585.68,-6602209.231,0.680180745,0.621701815,0.743903984,0,Shanghai,6,28257127.8,19178000,-9079128,-11669586,-6602209,0.68,0.62,0.74,0,Shanghai,6
198,13231782.13,10540000,-2691782.125,-4397125.682,-1051034.195,0.799844601,0.705624381,0.909323519,0,Shanxi,6,13231782.1,10540000,-2691782,-4397126,-1051034,0.80,0.71,0.91,0,Shanxi,6
206,44466010.73,35440000,-9026010.726,-11286522.81,-6939492.832,0.797518372,0.758455753,0.836253519,0,Sichuan,6,44466010.7,35440000,-9026011,-11286523,-6939493,0.80,0.76,0.84,0,Sichuan,6
214,9952273.133,8280000,-1672273.133,-2242568.068,-1136037.045,0.832622799,0.786880156,0.879350831,0,Tianjin,6,9952273.13,8280000,-1672273,-2242568,-1136037,0.83,0.79,0.88,0,Tianjin,6
222,869196.6318,1018000,148803.3682,-8936.011221,275980.2716,1.179611516,0.991298821,1.371931239,0.062,Tibet,6,869196.632,1018000,148803,-8936,275980,1.18,0.99,1.37,0.062,Tibet,6
230,8985738.415,9728000,742261.5853,207687.0623,1246064.159,1.08355807,1.021815169,1.146907993,0.006,Xinjiang,6,8985738.41,9728000,742262,207687,1246064,1.08,1.02,1.15,0.006,Xinjiang,6
238,24432814.36,18510000,-5922814.358,-7057895.342,-4796438.686,0.758008574,0.723954782,0.794201137,0,Yunnan,6,24432814.4,18510000,-5922814,-7057895,-4796439,0.76,0.72,0.79,0,Yunnan,6
246,52889570.15,41430000,-11459570.15,-16037289.31,-7179367.132,0.784749018,0.720931864,0.852304957,0,Zhejiang,6,52889570.1,41430000,-11459570,-16037289,-7179367,0.78,0.72,0.85,0,Zhejiang,6
254,664443836.5,552692000,-111751836.5,-143946003.1,-79916675.82,0.832327611,0.793370447,0.87367123,0,zz_Total,6,664443837,552692000,-111751837,-143946003,-79916676,0.83,0.79,0.87,0,zz_Total,6
7,184151944,191663500,7511555.957,-9611984.847,24090763.26,1.043092397,0.95224464,1.143763064,0.37,Anhui,7,184151944,191663500,7511556,-9611985,24090763,1.04,0.95,1.14,0.37,Anhui,7
15,194111589.9,208393000,14281410.08,4621025.337,23363342.06,1.074233895,1.022677496,1.126268099,0.004,Beijing,7,194111590,208393000,14281410,4621025,23363342,1.07,1.02,1.13,0.004,Beijing,7
23,127962094.8,112398000,-15564094.79,-21259334,-10187830.25,0.878787947,0.840941508,0.916892269,0,Chongqing,7,127962095,112398000,-15564095,-21259334,-10187830,0.88,0.84,0.92,0,Chongqing,7
31,144888380.9,147446500,2558119.106,-5123954.055,10147650.01,1.018399166,0.966415876,1.073909214,0.528,Fujian,7,144888381,147446500,2558119,-5123954,10147650,1.02,0.97,1.07,0.528,Fujian,7
39,80737719.32,78436000,-2301719.32,-6276800.326,1639305.506,0.972140146,0.925904936,1.021346049,0.292,Gansu,7,80737719.3,78436000,-2301719,-6276800,1639306,0.97,0.93,1.02,0.292,Gansu,7
47,520959050.3,528729000,7769949.743,-15314920.97,29868330.18,1.01540785,0.971849869,1.05987311,0.482,Guangdong,7,520959050,528729000,7769950,-15314921,29868330,1.02,0.97,1.06,0.482,Guangdong,7
55,172466147.2,154299500,-18166647.2,-24957272.44,-11364962.29,0.895027266,0.860773616,0.931397705,0,Guangxi,7,172466147,154299500,-18166647,-24957272,-11364962,0.90,0.86,0.93,0,Guangxi,7
63,148458118.1,120031000,-28427118.07,-37684550.39,-18867807.26,0.809362665,0.761060048,0.864161489,0,Guizhou,7,148458118,120031000,-28427118,-37684550,-18867807,0.81,0.76,0.86,0,Guizhou,7
71,37130090.47,33167500,-3962590.467,-6836945.006,-1395413.91,0.894638832,0.829095416,0.959626857,0.006,Hainan,7,37130090.5,33167500,-3962591,-6836945,-1395414,0.89,0.83,0.96,0.006,Hainan,7
79,266395024.1,250202000,-16193024.06,-31810824.06,-139988.317,0.940023876,0.887200801,0.999440813,0.046,Hebei,7,266395024,250202000,-16193024,-31810824,-139988,0.94,0.89,1.00,0.046,Hebei,7
87,94549829.92,97980000,3430170.078,311293.9812,6818937.392,1.036594471,1.003187245,1.074800988,0.032,Heilongjiang,7,94549829.9,97980000,3430170,311294,6818937,1.04,1.00,1.07,0.032,Heilongjiang,7
95,359576447.3,325467500,-34108947.31,-45349182.96,-23140755.89,0.90536266,0.877704577,0.9336196,0,Henan,7,359576447,325467500,-34108947,-45349183,-23140756,0.91,0.88,0.93,0,Henan,7
103,237873321.2,202644000,-35229321.17,-57529841.44,-14166649.34,0.853648191,0.778879228,0.934658886,0,Hubei,7,237873321,202644000,-35229321,-57529841,-14166649,0.85,0.78,0.93,0,Hubei,7
111,183376403,166372500,-17003903.02,-25732672.85,-8573516.858,0.90779855,0.866049047,0.950993378,0,Hunan,7,183376403,166372500,-17003903,-25732673,-8573517,0.91,0.87,0.95,0,Hunan,7
119,91504964.58,83717500,-7787464.583,-12150592.2,-3208483.68,0.915455237,0.873257185,0.963089476,0,Inner Mongolia,7,91504964.6,83717500,-7787465,-12150592,-3208484,0.92,0.87,0.96,0,Inner Mongolia,7
127,374440069.8,387336000,12895930.2,-9259362.062,33991640.01,1.035318057,0.976652923,1.09619976,0.272,Jiangsu,7,374440070,387336000,12895930,-9259362,33991640,1.04,0.98,1.10,0.272,Jiangsu,7
135,140887920.2,124202500,-16685420.21,-26126556.77,-8157792.323,0.88253192,0.826204214,0.938366834,0,Jiangxi,7,140887920,124202500,-16685420,-26126557,-8157792,0.88,0.83,0.94,0,Jiangxi,7
143,82034315.03,85689500,3655184.969,-975237.6555,8060640.088,1.045411364,0.988747046,1.103835611,0.126,Jilin,7,82034315,85689500,3655185,-975238,8060640,1.05,0.99,1.10,0.126,Jilin,7
151,157347035.7,158613500,1266464.326,-4780619.329,6536481.302,1.0084004,0.970741792,1.042981402,0.656,Liaoning,7,157347036,158613500,1266464,-4780619,6536481,1.01,0.97,1.04,0.656,Liaoning,7
159,33492307.42,32546500,-945807.4194,-3053320.147,1228918.111,0.972815264,0.914232149,1.039240543,0.392,Ningxia,7,33492307.4,32546500,-945807,-3053320,1228918,0.97,0.91,1.04,0.392,Ningxia,7
167,21986411.11,19180000,-2806411.11,-5019317.284,-876683.8541,0.874161063,0.792584343,0.956289702,0,Qinghai,7,21986411.1,19180000,-2806411,-5019317,-876684,0.87,0.79,0.96,0,Qinghai,7
175,168546315.1,152041000,-16505315.1,-20541247.72,-12605659.49,0.902202478,0.880977054,0.92343811,0,Shaanxi,7,168546315,152041000,-16505315,-20541248,-12605659,0.90,0.88,0.92,0,Shaanxi,7
183,416466505.5,356238000,-60228505.49,-78805685.87,-43279485.99,0.855786197,0.818855696,0.891670618,0,Shandong,7,416466505,356238000,-60228505,-78805686,-43279486,0.86,0.82,0.89,0,Shandong,7
191,245642739.2,215216000,-30426739.17,-43446579.69,-18380115.77,0.876770145,0.832033796,0.921316696,0,Shanghai,7,245642739,215216000,-30426739,-43446580,-18380116,0.88,0.83,0.92,0,Shanghai,7
199,120914237.1,106513500,-14400737.15,-25686757.93,-3312396.887,0.882930609,0.805698162,0.969839616,0.012,Shanxi,7,120914237,106513500,-14400737,-25686758,-3312397,0.88,0.81,0.97,0.012,Shanxi,7
207,378570764.2,334687000,-43883764.24,-60954891.64,-27750562.56,0.884520104,0.845934182,0.923433539,0,Sichuan,7,378570764,334687000,-43883764,-60954892,-27750563,0.88,0.85,0.92,0,Sichuan,7
215,85705991.73,89012000,3306008.269,-799617.4759,7159742.966,1.039129023,0.991096726,1.08747154,0.106,Tianjin,7,85705991.7,89012000,3306008,-799617,7159743,1.04,0.99,1.09,0.106,Tianjin,7
223,8055226.361,7960000,-95226.36139,-936366.2123,731724.4715,0.990963582,0.89474734,1.101230935,0.82,Tibet,7,8055226.36,7960000,-95226,-936366,731724,0.99,0.89,1.10,0.82,Tibet,7
231,70543443.19,99710500,29167056.81,24670156.33,33471666.4,1.414977955,1.328758609,1.50531792,0,Xinjiang,7,70543443.2,99710500,29167057,24670156,33471666,1.41,1.33,1.51,0,Xinjiang,7
239,199828982.7,169976500,-29852482.65,-37095824.3,-22910053.44,0.850890257,0.82085572,0.881225245,0,Yunnan,7,199828983,169976500,-29852483,-37095824,-22910053,0.85,0.82,0.88,0,Yunnan,7
247,463639076.5,417924500,-45714576.54,-70958451.12,-22079229.18,0.902051912,0.854855957,0.94982037,0,Zhejiang,7,463639077,417924500,-45714577,-70958451,-22079229,0.90,0.85,0.95,0,Zhejiang,7
255,5702577392,5457669000,-244908391.6,-394051684.3,-96112101.4,0.957225792,0.932660545,0.982694294,0.004,zz_Total,7,5702577392,5457669000,-244908392,-394051684,-96112101,0.96,0.93,0.98,0.004,zz_Total,7
8,579832783.5,631283000,51450216.46,12713089.03,88764905.83,1.089990312,1.0205524,1.1636165,0.014,Anhui,8,579832784,631283000,51450217,12713089,88764906,1.09,1.02,1.16,0.014,Anhui,8
16,658782508.4,610139500,-48643008.45,-73913646.26,-25127983.39,0.926476042,0.891947513,0.960445035,0,Beijing,8,658782508,610139500,-48643008,-73913646,-25127983,0.93,0.89,0.96,0,Beijing,8
24,401619719.1,364598000,-37021719.09,-50680472.78,-24552434.79,0.908074277,0.87796027,0.9369076,0,Chongqing,8,401619719,364598000,-37021719,-50680473,-24552435,0.91,0.88,0.94,0,Chongqing,8
32,480493012.4,467692500,-12800512.43,-31794389.52,5800060.128,0.973753198,0.936345906,1.01255717,0.17,Fujian,8,480493012,467692500,-12800512,-31794390,5800060,0.97,0.94,1.01,0.17,Fujian,8
40,254420927,243537000,-10883927.02,-20185343.55,-1642169.687,0.957583997,0.923459866,0.993302165,0.022,Gansu,8,254420927,243537000,-10883927,-20185344,-1642170,0.96,0.92,0.99,0.022,Gansu,8
48,1775261414,1685241500,-90019913.81,-149280280.1,-32007756.31,0.949554517,0.918627158,0.981361039,0,Guangdong,8,1775261414,1685241500,-90019914,-149280280,-32007756,0.95,0.92,0.98,0,Guangdong,8
56,552100572.7,501401000,-50699572.73,-67441494.63,-33510880.91,0.908384403,0.881440829,0.937352521,0,Guangxi,8,552100573,501401000,-50699573,-67441495,-33510881,0.91,0.88,0.94,0,Guangxi,8
64,443786722.7,370551000,-73235722.72,-95572775.99,-50498676.03,0.835543356,0.794962668,0.880064811,0,Guizhou,8,443786723,370551000,-73235723,-95572776,-50498676,0.84,0.79,0.88,0,Guizhou,8
72,115045044.4,99960000,-15085044.39,-21719757.78,-9070445.556,0.869603431,0.82150066,0.916808161,0,Hainan,8,115045044,99960000,-15085044,-21719758,-9070446,0.87,0.82,0.92,0,Hainan,8
80,818130756.8,787692500,-30438256.75,-66277709.27,5890058.977,0.963256603,0.922388739,1.007533951,0.086,Hebei,8,818130757,787692500,-30438257,-66277709,5890059,0.96,0.92,1.01,0.086,Hebei,8
88,301904522,284946500,-16958021.98,-24432710.99,-8575732.641,0.944008434,0.921026656,0.970783376,0,Heilongjiang,8,301904522,284946500,-16958022,-24432711,-8575733,0.94,0.92,0.97,0,Heilongjiang,8
96,1125873833,1024756000,-101117833,-126540212.7,-75247353.31,0.910310041,0.89008892,0.931593524,0,Henan,8,1125873833,1024756000,-101117833,-126540213,-75247353,0.91,0.89,0.93,0,Henan,8
104,739668038.3,629515000,-110153038.3,-160393372.4,-62998325.55,0.852000798,0.796946872,0.909029446,0,Hubei,8,739668038,629515000,-110153038,-160393372,-62998326,0.85,0.80,0.91,0,Hubei,8
112,574351512.9,531390000,-42961512.89,-64897782.76,-21801677.5,0.925542206,0.891163676,0.960589289,0,Hunan,8,574351513,531390000,-42961513,-64897783,-21801678,0.93,0.89,0.96,0,Hunan,8
120,282984019.7,262992500,-19991519.66,-31283650.2,-8150913.529,0.929737273,0.893692879,0.969938738,0,Inner Mongolia,8,282984020,262992500,-19991520,-31283650,-8150914,0.93,0.89,0.97,0,Inner Mongolia,8
128,1254112330,1185875500,-68236829.87,-122433658.4,-16019010.18,0.946011887,0.906418406,0.986671867,0.002,Jiangsu,8,1254112330,1185875500,-68236830,-122433658,-16019010,0.95,0.91,0.99,0.002,Jiangsu,8
136,429527083.9,393416500,-36110583.85,-57894580.64,-15926001.07,0.916495682,0.871719132,0.961093703,0,Jiangxi,8,429527084,393416500,-36110584,-57894581,-15926001,0.92,0.87,0.96,0,Jiangxi,8
144,260573936.6,257164000,-3409936.63,-14548178.91,7568416.083,0.98738635,0.946457394,1.030322717,0.56,Jilin,8,260573937,257164000,-3409937,-14548179,7568416,0.99,0.95,1.03,0.56,Jilin,8
152,505859060.2,480175000,-25684060.23,-41408392.92,-10834772.35,0.949449236,0.920610226,0.977933693,0,Liaoning,8,505859060,480175000,-25684060,-41408393,-10834772,0.95,0.92,0.98,0,Liaoning,8
160,108172102.8,99803500,-8368602.834,-13239687.94,-3132954.485,0.923169606,0.882879395,0.969564232,0,Ningxia,8,108172103,99803500,-8368603,-13239688,-3132955,0.92,0.88,0.97,0,Ningxia,8
168,69435205.32,66298500,-3136705.317,-8378833.385,1358072.919,0.955907492,0.887799511,1.020912596,0.174,Qinghai,8,69435205.3,66298500,-3136705,-8378833,1358073,0.96,0.89,1.02,0.174,Qinghai,8
176,519660322.7,462409000,-57251322.73,-66740505.18,-47869811,0.889909136,0.873872121,0.906188911,0,Shaanxi,8,519660323,462409000,-57251323,-66740505,-47869811,0.89,0.87,0.91,0,Shaanxi,8
184,1297744159,1120668000,-177076159.4,-222442855,-134738638.7,0.863806532,0.834382356,0.892673312,0,Shandong,8,1297744159,1120668000,-177076159,-222442855,-134738639,0.86,0.83,0.89,0,Shandong,8
192,797635732.1,673367000,-124268732.1,-158183981,-92278961.55,0.844594936,0.809772363,0.879475681,0,Shanghai,8,797635732,673367000,-124268732,-158183981,-92278962,0.84,0.81,0.88,0,Shanghai,8
200,362575754.8,326781500,-35794254.82,-62845553.28,-9668134.64,0.902531211,0.838703316,0.971264244,0.006,Shanxi,8,362575755,326781500,-35794255,-62845553,-9668135,0.90,0.84,0.97,0.006,Shanxi,8
208,1161507467,1038226500,-123280966.9,-161676193.3,-86785873.6,0.894106525,0.865258922,0.922857851,0,Sichuan,8,1161507467,1038226500,-123280967,-161676193,-86785874,0.89,0.87,0.92,0,Sichuan,8
216,294118312.9,273335500,-20782812.92,-31071562.84,-10840374.98,0.929611621,0.897927589,0.961853294,0,Tianjin,8,294118313,273335500,-20782813,-31071563,-10840375,0.93,0.90,0.96,0,Tianjin,8
224,25912103.55,26327500,415396.4513,-1541757.277,2533124.768,1.017638166,0.944678925,1.106458982,0.66,Tibet,8,25912103.5,26327500,415396,-1541757,2533125,1.02,0.94,1.11,0.66,Tibet,8
232,238356965.1,279524500,41167534.93,29768387.4,52208343.96,1.173425637,1.119189879,1.229672828,0,Xinjiang,8,238356965,279524500,41167535,29768387,52208344,1.17,1.12,1.23,0,Xinjiang,8
240,621056614.1,552821500,-68235114.12,-85197392.64,-51512246.2,0.89030142,0.866465723,0.914761924,0,Yunnan,8,621056614,552821500,-68235114,-85197393,-51512246,0.89,0.87,0.91,0,Yunnan,8
248,1508829928,1320668500,-188161427.8,-252524493,-127208778.4,0.875686146,0.839482834,0.912141188,0,Zhejiang,8,1508829928,1320668500,-188161428,-252524493,-127208778,0.88,0.84,0.91,0,Zhejiang,8
256,18285476667,17071636000,-1213840667,-1576463269,-864184816.2,0.933713764,0.915462523,0.951817945,0,zz_Total,8,18285000000,17072000000,-1214000000,-1576000000,-864184816,0.93,0.92,0.95,0,zz_Total,8
,,,,,,,,,,,,,,,,,,,,,,
